,Date,Time,City,Population,Result,NormalizedResult
181,2024-05-19,18:00,Frankfurt am Main,764104,[ 6. 16.  9. 10.  8.  4.  6.  6.  2.  5.  2.  4.  1.],"[0.0759493670886076, 0.20253164556962025, 0.11392405063291139, 0.12658227848101267, 0.10126582278481013, 0.05063291139240506, 0.0759493670886076, 0.0759493670886076, 0.02531645569620253, 0.06329113924050633, 0.02531645569620253, 0.05063291139240506, 0.012658227848101266]"
182,2024-05-19,21:00,Frankfurt am Main,764104,[10.  8.  4.  6.  6.  2.  5.  2.  4.  1.  0.  2.  0.],"[0.2, 0.16, 0.08, 0.12, 0.12, 0.04, 0.1, 0.04, 0.08, 0.02, 0.0, 0.04, 0.0]"
183,2024-05-20,15:00,Frankfurt am Main,764104,[ 4.  3. 14.  6. 18. 12. 17. 18. 12. 14. 38. 28. 18.],"[0.019801980198019802, 0.01485148514851485, 0.06930693069306931, 0.0297029702970297, 0.0891089108910891, 0.0594059405940594, 0.08415841584158416, 0.0891089108910891, 0.0594059405940594, 0.06930693069306931, 0.18811881188118812, 0.13861386138613863, 0.0891089108910891]"
184,2024-05-20,18:00,Frankfurt am Main,764104,[ 6. 18. 12. 17. 18. 12. 14. 38. 28. 18.  4.  1.  1.],"[0.03208556149732621, 0.0962566844919786, 0.06417112299465241, 0.09090909090909091, 0.0962566844919786, 0.06417112299465241, 0.0748663101604278, 0.20320855614973263, 0.1497326203208556, 0.0962566844919786, 0.0213903743315508, 0.0053475935828877, 0.0053475935828877]"
185,2024-05-20,21:00,Frankfurt am Main,764104,[17. 18. 12. 14. 38. 28. 18.  4.  1.  1.  1.  1.  1.],"[0.11038961038961038, 0.11688311688311688, 0.07792207792207792, 0.09090909090909091, 0.24675324675324675, 0.18181818181818182, 0.11688311688311688, 0.025974025974025976, 0.006493506493506494, 0.006493506493506494, 0.006493506493506494, 0.006493506493506494, 0.006493506493506494]"
186,2024-05-21,15:00,Frankfurt am Main,764104,[20. 17. 13. 20.  6. 16. 20. 27. 16. 14.  0.  4.  1.],"[0.11494252873563218, 0.09770114942528736, 0.07471264367816093, 0.11494252873563218, 0.034482758620689655, 0.09195402298850575, 0.11494252873563218, 0.15517241379310345, 0.09195402298850575, 0.08045977011494253, 0.0, 0.022988505747126436, 0.005747126436781609]"
187,2024-05-21,18:00,Frankfurt am Main,764104,[20.  6. 16. 20. 27. 16. 14.  0.  4.  1.  5.  2.  2.],"[0.15037593984962405, 0.045112781954887216, 0.12030075187969924, 0.15037593984962405, 0.20300751879699247, 0.12030075187969924, 0.10526315789473684, 0.0, 0.03007518796992481, 0.007518796992481203, 0.03759398496240601, 0.015037593984962405, 0.015037593984962405]"
188,2024-05-21,21:00,Frankfurt am Main,764104,[20. 27. 16. 14.  0.  4.  1.  5.  2.  2.  0.  0.  0.],"[0.21978021978021978, 0.2967032967032967, 0.17582417582417584, 0.15384615384615385, 0.0, 0.04395604395604396, 0.01098901098901099, 0.054945054945054944, 0.02197802197802198, 0.02197802197802198, 0.0, 0.0, 0.0]"
189,2024-05-22,15:00,Frankfurt am Main,764104,[18.  9. 17.  8. 11. 18. 13. 34. 24. 18.  7.  8.  5.],"[0.09473684210526316, 0.04736842105263158, 0.08947368421052632, 0.042105263157894736, 0.05789473684210526, 0.09473684210526316, 0.06842105263157895, 0.17894736842105263, 0.12631578947368421, 0.09473684210526316, 0.03684210526315789, 0.042105263157894736, 0.02631578947368421]"
190,2024-05-22,18:00,Frankfurt am Main,764104,[ 8. 11. 18. 13. 34. 24. 18.  7.  8.  5.  7.  4.  2.],"[0.050314465408805034, 0.06918238993710692, 0.11320754716981132, 0.08176100628930817, 0.2138364779874214, 0.1509433962264151, 0.11320754716981132, 0.0440251572327044, 0.050314465408805034, 0.031446540880503145, 0.0440251572327044, 0.025157232704402517, 0.012578616352201259]"
