venue_type,day,hour,pair
shopping,2024-05-20,6,3.0
shopping,2024-05-20,7,4.0
shopping,2024-05-20,8,5.0
shopping,2024-05-20,9,10.0
shopping,2024-05-20,10,11.0
shopping,2024-05-20,11,14.0
shopping,2024-05-20,12,16.0
shopping,2024-05-20,13,17.0
shopping,2024-05-20,14,22.0
shopping,2024-05-20,15,19.0
shopping,2024-05-20,16,17.0
shopping,2024-05-20,17,19.0
shopping,2024-05-20,18,13.0
shopping,2024-05-20,19,10.0
shopping,2024-05-20,20,5.0
shopping,2024-05-20,21,6.0
shopping,2024-05-20,22,3.0
shopping,2024-05-20,23,2.0
shopping,2024-05-21,0,2.0
shopping,2024-05-21,1,1.0
shopping,2024-05-21,2,1.0
shopping,2024-05-21,3,
shopping,2024-05-21,4,1.0
shopping,2024-05-21,5,4.0
shopping,2024-05-21,6,9.0
shopping,2024-05-21,7,18.0
shopping,2024-05-21,8,43.0
shopping,2024-05-21,9,70.0
shopping,2024-05-21,10,119.0
shopping,2024-05-21,11,136.0
shopping,2024-05-21,12,98.0
shopping,2024-05-21,13,87.0
shopping,2024-05-21,14,88.0
shopping,2024-05-21,15,96.0
shopping,2024-05-21,16,108.0
shopping,2024-05-21,17,99.0
shopping,2024-05-21,18,69.0
shopping,2024-05-21,19,30.0
shopping,2024-05-21,20,14.0
shopping,2024-05-21,21,8.0
shopping,2024-05-21,22,3.0
shopping,2024-05-21,23,2.0
shopping,2024-05-22,0,2.0
shopping,2024-05-22,1,
shopping,2024-05-22,2,3.0
shopping,2024-05-22,3,1.0
shopping,2024-05-22,4,2.0
shopping,2024-05-22,5,3.0
shopping,2024-05-22,6,5.0
shopping,2024-05-22,7,25.0
shopping,2024-05-22,8,41.0
shopping,2024-05-22,9,79.0
shopping,2024-05-22,10,76.0
shopping,2024-05-22,11,110.0
shopping,2024-05-22,12,81.0
shopping,2024-05-22,13,88.0
shopping,2024-05-22,14,77.0
shopping,2024-05-22,15,69.0
shopping,2024-05-22,16,98.0
shopping,2024-05-22,17,71.0
shopping,2024-05-22,18,64.0
shopping,2024-05-22,19,20.0
shopping,2024-05-22,20,18.0
shopping,2024-05-22,21,5.0
shopping,2024-05-22,22,3.0
shopping,2024-05-22,23,2.0
shopping,2024-05-23,0,3.0
shopping,2024-05-23,1,
shopping,2024-05-23,2,1.0
shopping,2024-05-23,3,1.0
shopping,2024-05-23,4,3.0
shopping,2024-05-23,5,
shopping,2024-05-23,6,9.0
shopping,2024-05-23,7,29.0
shopping,2024-05-23,8,43.0
shopping,2024-05-23,9,99.0
shopping,2024-05-23,10,115.0
shopping,2024-05-23,11,107.0
shopping,2024-05-23,12,115.0
shopping,2024-05-23,13,90.0
shopping,2024-05-23,14,113.0
shopping,2024-05-23,15,89.0
shopping,2024-05-23,16,99.0
shopping,2024-05-23,17,96.0
shopping,2024-05-23,18,53.0
shopping,2024-05-23,19,33.0
shopping,2024-05-23,20,16.0
shopping,2024-05-23,21,8.0
shopping,2024-05-23,22,6.0
shopping,2024-05-23,23,2.0
shopping,2024-05-24,0,2.0
shopping,2024-05-24,1,1.0
shopping,2024-05-24,2,
shopping,2024-05-24,3,1.0
shopping,2024-05-24,4,2.0
shopping,2024-05-24,5,6.0
shopping,2024-05-24,6,8.0
shopping,2024-05-24,7,18.0
shopping,2024-05-24,8,48.0
shopping,2024-05-24,9,92.0
shopping,2024-05-24,10,111.0
shopping,2024-05-24,11,123.0
shopping,2024-05-24,12,146.0
shopping,2024-05-24,13,119.0
shopping,2024-05-24,14,129.0
shopping,2024-05-24,15,119.0
shopping,2024-05-24,16,138.0
shopping,2024-05-24,17,123.0
shopping,2024-05-24,18,80.0
shopping,2024-05-24,19,38.0
shopping,2024-05-24,20,20.0
shopping,2024-05-24,21,21.0
shopping,2024-05-24,22,9.0
shopping,2024-05-24,23,9.0
shopping,2024-05-25,0,13.0
shopping,2024-05-25,1,3.0
shopping,2024-05-25,2,2.0
shopping,2024-05-25,3,5.0
shopping,2024-05-25,4,4.0
shopping,2024-05-25,5,3.0
shopping,2024-05-25,6,1.0
shopping,2024-05-25,7,14.0
shopping,2024-05-25,8,40.0
shopping,2024-05-25,9,80.0
shopping,2024-05-25,10,125.0
shopping,2024-05-25,11,169.0
shopping,2024-05-25,12,191.0
shopping,2024-05-25,13,176.0
shopping,2024-05-25,14,185.0
shopping,2024-05-25,15,146.0
shopping,2024-05-25,16,126.0
shopping,2024-05-25,17,89.0
shopping,2024-05-25,18,98.0
shopping,2024-05-25,19,52.0
shopping,2024-05-25,20,40.0
shopping,2024-05-25,21,17.0
shopping,2024-05-25,22,7.0
shopping,2024-05-25,23,9.0
shopping,2024-05-26,0,9.0
shopping,2024-05-26,1,4.0
shopping,2024-05-26,2,4.0
shopping,2024-05-26,3,2.0
shopping,2024-05-26,4,2.0
shopping,2024-05-26,5,1.0
shopping,2024-05-26,6,1.0
shopping,2024-05-26,7,
shopping,2024-05-26,8,5.0
shopping,2024-05-26,9,11.0
shopping,2024-05-26,10,17.0
shopping,2024-05-26,11,16.0
shopping,2024-05-26,12,14.0
shopping,2024-05-26,13,29.0
shopping,2024-05-26,14,25.0
shopping,2024-05-26,15,16.0
shopping,2024-05-26,16,22.0
shopping,2024-05-26,17,18.0
shopping,2024-05-26,18,17.0
shopping,2024-05-26,19,9.0
shopping,2024-05-26,20,8.0
shopping,2024-05-26,21,1.0
shopping,2024-05-26,22,3.0
shopping,2024-05-26,23,1.0
shopping,2024-05-27,0,
shopping,2024-05-27,1,1.0
shopping,2024-05-27,2,
shopping,2024-05-27,3,1.0
shopping,2024-05-27,4,4.0
shopping,2024-05-27,5,6.0
shopping,2024-05-27,6,9.0
shopping,2024-05-27,7,15.0
shopping,2024-05-27,8,43.0
shopping,2024-05-27,9,62.0
shopping,2024-05-27,10,95.0
shopping,2024-05-27,11,87.0
shopping,2024-05-27,12,88.0
shopping,2024-05-27,13,73.0
shopping,2024-05-27,14,62.0
shopping,2024-05-27,15,72.0
shopping,2024-05-27,16,81.0
shopping,2024-05-27,17,78.0
shopping,2024-05-27,18,55.0
shopping,2024-05-27,19,37.0
shopping,2024-05-27,20,15.0
shopping,2024-05-27,21,7.0
shopping,2024-05-27,22,2.0
shopping,2024-05-27,23,2.0
shopping,2024-05-28,0,1.0
shopping,2024-05-28,1,1.0
shopping,2024-05-28,2,
shopping,2024-05-28,3,
shopping,2024-05-28,4,2.0
shopping,2024-05-28,5,1.0
shopping,2024-05-28,6,2.0
shopping,2024-05-28,7,31.0
shopping,2024-05-28,8,30.0
shopping,2024-05-28,9,63.0
shopping,2024-05-28,10,94.0
shopping,2024-05-28,11,77.0
shopping,2024-05-28,12,95.0
shopping,2024-05-28,13,93.0
shopping,2024-05-28,14,77.0
shopping,2024-05-28,15,91.0
shopping,2024-05-28,16,80.0
shopping,2024-05-28,17,82.0
shopping,2024-05-28,18,72.0
shopping,2024-05-28,19,27.0
shopping,2024-05-28,20,12.0
shopping,2024-05-28,21,6.0
shopping,2024-05-28,22,8.0
shopping,2024-05-28,23,2.0
shopping,2024-05-29,0,2.0
shopping,2024-05-29,1,1.0
shopping,2024-05-29,2,
shopping,2024-05-29,3,1.0
shopping,2024-05-29,4,2.0
shopping,2024-05-29,5,3.0
shopping,2024-05-29,6,2.0
shopping,2024-05-29,7,18.0
shopping,2024-05-29,8,40.0
shopping,2024-05-29,9,63.0
shopping,2024-05-29,10,88.0
shopping,2024-05-29,11,126.0
shopping,2024-05-29,12,116.0
shopping,2024-05-29,13,95.0
shopping,2024-05-29,14,87.0
shopping,2024-05-29,15,108.0
shopping,2024-05-29,16,113.0
shopping,2024-05-29,17,129.0
shopping,2024-05-29,18,91.0
shopping,2024-05-29,19,58.0
shopping,2024-05-29,20,16.0
shopping,2024-05-29,21,13.0
shopping,2024-05-29,22,9.0
shopping,2024-05-29,23,6.0
shopping,2024-05-30,0,4.0
shopping,2024-05-30,1,3.0
shopping,2024-05-30,2,6.0
shopping,2024-05-30,3,3.0
shopping,2024-05-30,4,2.0
shopping,2024-05-30,5,2.0
shopping,2024-05-30,6,11.0
shopping,2024-05-30,7,16.0
shopping,2024-05-30,8,39.0
shopping,2024-05-30,9,63.0
shopping,2024-05-30,10,89.0
shopping,2024-05-30,11,102.0
shopping,2024-05-30,12,104.0
shopping,2024-05-30,13,72.0
shopping,2024-05-30,14,90.0
shopping,2024-05-30,15,81.0
shopping,2024-05-30,16,111.0
shopping,2024-05-30,17,96.0
shopping,2024-05-30,18,53.0
shopping,2024-05-30,19,20.0
shopping,2024-05-30,20,18.0
shopping,2024-05-30,21,12.0
shopping,2024-05-30,22,5.0
shopping,2024-05-30,23,3.0
shopping,2024-05-31,0,2.0
shopping,2024-05-31,1,
shopping,2024-05-31,2,1.0
shopping,2024-05-31,3,1.0
shopping,2024-05-31,4,1.0
shopping,2024-05-31,5,3.0
shopping,2024-05-31,6,7.0
shopping,2024-05-31,7,29.0
shopping,2024-05-31,8,54.0
shopping,2024-05-31,9,91.0
shopping,2024-05-31,10,184.0
shopping,2024-05-31,11,183.0
shopping,2024-05-31,12,222.0
shopping,2024-05-31,13,189.0
shopping,2024-05-31,14,175.0
shopping,2024-05-31,15,163.0
shopping,2024-05-31,16,158.0
shopping,2024-05-31,17,156.0
shopping,2024-05-31,18,98.0
shopping,2024-05-31,19,58.0
shopping,2024-05-31,20,29.0
shopping,2024-05-31,21,15.0
shopping,2024-05-31,22,10.0
shopping,2024-05-31,23,8.0
shopping,2024-06-01,0,5.0
shopping,2024-06-01,1,2.0
shopping,2024-06-01,2,5.0
shopping,2024-06-01,3,4.0
shopping,2024-06-01,4,4.0
shopping,2024-06-01,5,3.0
shopping,2024-06-01,6,6.0
shopping,2024-06-01,7,18.0
shopping,2024-06-01,8,38.0
shopping,2024-06-01,9,88.0
shopping,2024-06-01,10,149.0
shopping,2024-06-01,11,240.0
shopping,2024-06-01,12,234.0
shopping,2024-06-01,13,192.0
shopping,2024-06-01,14,192.0
shopping,2024-06-01,15,176.0
shopping,2024-06-01,16,131.0
shopping,2024-06-01,17,139.0
shopping,2024-06-01,18,94.0
shopping,2024-06-01,19,60.0
shopping,2024-06-01,20,28.0
shopping,2024-06-01,21,10.0
shopping,2024-06-01,22,7.0
shopping,2024-06-01,23,7.0
shopping,2024-06-02,0,10.0
shopping,2024-06-02,1,10.0
shopping,2024-06-02,2,4.0
shopping,2024-06-02,3,4.0
shopping,2024-06-02,4,2.0
shopping,2024-06-02,5,
shopping,2024-06-02,6,1.0
shopping,2024-06-02,7,
shopping,2024-06-02,8,4.0
shopping,2024-06-02,9,6.0
