Date,Time,City,Population,Result,NormalizedResult
2024-05-20,18:00,München,1487708,[16. 20. 18. 21. 29. 41. 21. 24. 12. 13.  6.  1.  2.],"[0.07142857142857142, 0.08928571428571429, 0.08035714285714286, 0.09375, 0.12946428571428573, 0.18303571428571427, 0.09375, 0.10714285714285714, 0.05357142857142857, 0.05803571428571429, 0.026785714285714284, 0.004464285714285714, 0.008928571428571428]"
2024-05-20,21:00,München,1487708,[21. 29. 41. 21. 24. 12. 13.  6.  1.  2.  0.  3.  1.],"[0.1206896551724138, 0.16666666666666666, 0.23563218390804597, 0.1206896551724138, 0.13793103448275862, 0.06896551724137931, 0.07471264367816093, 0.034482758620689655, 0.005747126436781609, 0.011494252873563218, 0.0, 0.017241379310344827, 0.005747126436781609]"
2024-05-21,15:00,München,1487708,[45. 35. 34. 24. 30. 22. 40. 62. 31. 25. 22. 20. 12.],"[0.11194029850746269, 0.08706467661691543, 0.0845771144278607, 0.05970149253731343, 0.07462686567164178, 0.05472636815920398, 0.09950248756218906, 0.15422885572139303, 0.07711442786069651, 0.06218905472636816, 0.05472636815920398, 0.04975124378109453, 0.029850746268656716]"
2024-05-21,18:00,München,1487708,[24. 30. 22. 40. 62. 31. 25. 22. 20. 12.  8.  4.  3.],"[0.07920792079207921, 0.09900990099009901, 0.07260726072607261, 0.132013201320132, 0.20462046204620463, 0.10231023102310231, 0.08250825082508251, 0.07260726072607261, 0.066006600660066, 0.039603960396039604, 0.026402640264026403, 0.013201320132013201, 0.009900990099009901]"
2024-05-21,21:00,München,1487708,[40. 62. 31. 25. 22. 20. 12.  8.  4.  3.  2.  4.  3.],"[0.1694915254237288, 0.2627118644067797, 0.13135593220338984, 0.1059322033898305, 0.09322033898305085, 0.0847457627118644, 0.05084745762711865, 0.03389830508474576, 0.01694915254237288, 0.012711864406779662, 0.00847457627118644, 0.01694915254237288, 0.012711864406779662]"
2024-05-22,15:00,München,1487708,[24. 25. 28. 28. 35. 29. 39. 71. 51. 34. 24. 25. 24.],"[0.05491990846681922, 0.057208237986270026, 0.06407322654462243, 0.06407322654462243, 0.08009153318077804, 0.06636155606407322, 0.08924485125858124, 0.16247139588100687, 0.11670480549199085, 0.07780320366132723, 0.05491990846681922, 0.057208237986270026, 0.05491990846681922]"
2024-05-22,18:00,München,1487708,[28. 35. 29. 39. 71. 51. 34. 24. 25. 24.  8.  1.  2.],"[0.07547169811320754, 0.09433962264150944, 0.07816711590296496, 0.10512129380053908, 0.19137466307277629, 0.13746630727762804, 0.09164420485175202, 0.0646900269541779, 0.0673854447439353, 0.0646900269541779, 0.0215633423180593, 0.0026954177897574125, 0.005390835579514825]"
2024-05-22,21:00,München,1487708,[39. 71. 51. 34. 24. 25. 24.  8.  1.  2.  1.  2.  2.],"[0.13732394366197184, 0.25, 0.1795774647887324, 0.11971830985915492, 0.08450704225352113, 0.0880281690140845, 0.08450704225352113, 0.028169014084507043, 0.0035211267605633804, 0.007042253521126761, 0.0035211267605633804, 0.007042253521126761, 0.007042253521126761]"
2024-05-23,15:00,München,1487708,[42. 26. 42. 31. 29. 30. 51. 67. 29. 28. 12.  9.  5.],"[0.10473815461346633, 0.06483790523690773, 0.10473815461346633, 0.0773067331670823, 0.07231920199501247, 0.07481296758104738, 0.12718204488778054, 0.16708229426433915, 0.07231920199501247, 0.06982543640897755, 0.029925187032418952, 0.022443890274314215, 0.012468827930174564]"
2024-05-23,18:00,München,1487708,[31. 29. 30. 51. 67. 29. 28. 12.  9.  5.  3.  1.  1.],"[0.10472972972972973, 0.09797297297297297, 0.10135135135135136, 0.17229729729729729, 0.22635135135135134, 0.09797297297297297, 0.0945945945945946, 0.04054054054054054, 0.030405405405405407, 0.016891891891891893, 0.010135135135135136, 0.0033783783783783786, 0.0033783783783783786]"
2024-05-23,21:00,München,1487708,[51. 67. 29. 28. 12.  9.  5.  3.  1.  1.  2.  4.  1.],"[0.23943661971830985, 0.3145539906103286, 0.13615023474178403, 0.13145539906103287, 0.056338028169014086, 0.04225352112676056, 0.023474178403755867, 0.014084507042253521, 0.004694835680751174, 0.004694835680751174, 0.009389671361502348, 0.018779342723004695, 0.004694835680751174]"
2024-05-24,15:00,München,1487708,[ 37.  21.  40.  64.  38.  52.  80. 116. 144. 113. 108.  99. 114.],"[0.036062378167641324, 0.02046783625730994, 0.03898635477582846, 0.06237816764132553, 0.037037037037037035, 0.050682261208576995, 0.07797270955165692, 0.11306042884990253, 0.14035087719298245, 0.1101364522417154, 0.10526315789473684, 0.09649122807017543, 0.1111111111111111]"
2024-05-24,18:00,München,1487708,[ 64.  38.  52.  80. 116. 144. 113. 108.  99. 114.  95.  93.  14.],"[0.05663716814159292, 0.033628318584070796, 0.04601769911504425, 0.07079646017699115, 0.10265486725663717, 0.12743362831858407, 0.1, 0.09557522123893805, 0.08761061946902655, 0.10088495575221239, 0.084070796460177, 0.08230088495575222, 0.012389380530973451]"
2024-05-24,21:00,München,1487708,[ 80. 116. 144. 113. 108.  99. 114.  95.  93.  14.   6.   2.   2.],"[0.08113590263691683, 0.11764705882352941, 0.1460446247464503, 0.11460446247464504, 0.10953346855983773, 0.10040567951318459, 0.11561866125760649, 0.09634888438133875, 0.09432048681541583, 0.014198782961460446, 0.006085192697768763, 0.002028397565922921, 0.002028397565922921]"
