day,city,contacts_city,contacts_stad,contact_to_baseline_city,contact_to_baseline_all
2024-06-18,Gelsenkirchen,208,0,0.7827956989247311,0.7827956989247311
2024-06-18,Hamburg,534,0,0.7931253978357733,0.7931253978357733
2024-06-18,Köln,280,0,0.9154600653900048,0.9154600653900048
2024-06-18,Leipzig,544,0,1.0898683457355467,1.0898683457355467
2024-06-18,München,110,0,0.8342361863488624,0.8342361863488624
2024-06-18,Stuttgart,184,0,0.8870523415977962,0.8870523415977962
2024-06-19,Berlin,1186,0,0.9908103592314118,0.9908103592314118
2024-06-19,Dortmund,222,0,0.8754929577464788,0.8754929577464788
2024-06-19,Düsseldorf,198,0,0.9178807947019867,0.9178807947019867
2024-06-19,Frankfurt am Main,176,0,0.9871794871794872,0.9871794871794872
2024-06-19,Gelsenkirchen,216,0,0.8059701492537313,0.8059701492537313
2024-06-19,Hamburg,686,0,0.9820040899795501,0.9820040899795501
2024-06-19,Köln,248,0,0.7952359138799817,0.7952359138799817
2024-06-19,Leipzig,480,0,0.9238383282925489,0.9238383282925489
2024-06-19,München,126,0,0.934322033898305,0.934322033898305
2024-06-19,Stuttgart,260,24,1.0508083140877598,1.1478060046189378
2024-06-20,Berlin,1190,0,0.9367971210076473,0.9367971210076473
2024-06-20,Dortmund,244,0,0.9872832369942197,0.9872832369942197
2024-06-20,Düsseldorf,214,0,0.9953488372093023,0.9953488372093023
2024-06-20,Frankfurt am Main,228,4,1.1506849315068493,1.170872386445566
2024-06-20,Gelsenkirchen,226,0,0.8222453222453223,0.8222453222453223
2024-06-20,Hamburg,738,0,1.036724864539434,1.036724864539434
2024-06-20,Köln,296,0,0.9552789303826649,0.9552789303826649
2024-06-20,Leipzig,524,0,1.034113335212856,1.034113335212856
2024-06-20,München,166,2,1.2401280683030949,1.255069370330843
2024-06-20,Stuttgart,216,0,1.177570093457944,1.177570093457944
2024-06-21,Berlin,1236,2,0.9373781148429035,0.9388949079089923
2024-06-21,Dortmund,258,0,0.8682692307692307,0.8682692307692307
2024-06-21,Düsseldorf,210,6,0.8153078202995009,0.8386023294509152
2024-06-21,Frankfurt am Main,192,0,0.9020134228187919,0.9020134228187919
2024-06-21,Gelsenkirchen,314,0,1.1095406360424027,1.1095406360424027
2024-06-21,Hamburg,706,0,0.8839205866571276,0.8839205866571276
2024-06-21,Köln,416,0,1.0585241730279897,1.0585241730279897
2024-06-21,Leipzig,610,2,0.9777879551179299,0.9809938172658575
2024-06-21,München,146,0,1.0148957298907646,1.0148957298907646
2024-06-21,Stuttgart,190,0,0.95,0.95
2024-06-22,Berlin,880,0,0.7977207977207977,0.7977207977207977
2024-06-22,Dortmund,320,22,0.96137339055794,1.0274678111587983
2024-06-22,Düsseldorf,226,0,0.6602671118530885,0.6602671118530885
2024-06-22,Frankfurt am Main,198,0,1.0853563038371183,1.0853563038371183
2024-06-22,Gelsenkirchen,172,0,0.7222555488902219,0.7222555488902219
2024-06-22,Hamburg,654,2,0.8723323170731708,0.8750000000000001
2024-06-22,Köln,296,4,0.752906976744186,0.7630813953488371
2024-06-22,Leipzig,406,0,0.817371297095197,0.817371297095197
2024-06-22,München,208,16,1.395973154362416,1.5033557046979866
2024-06-22,Stuttgart,182,0,0.7633313361294188,0.7633313361294188
2024-06-23,Berlin,644,0,0.9308279991740657,0.9308279991740657
2024-06-23,Dortmund,192,0,0.9352818371607516,0.9352818371607516
2024-06-23,Düsseldorf,148,0,0.7584187408491947,0.7584187408491947
2024-06-23,Frankfurt am Main,208,16,1.5456475583864118,1.6645435244161357
2024-06-23,Gelsenkirchen,144,0,0.8749999999999999,0.8749999999999999
2024-06-23,Hamburg,460,0,0.852980132450331,0.852980132450331
2024-06-23,Köln,222,0,0.7521781219748306,0.7521781219748306
2024-06-23,Leipzig,274,0,0.85510477039679,0.85510477039679
2024-06-23,München,76,0,0.7218453188602442,0.7218453188602442
2024-06-23,Stuttgart,98,2,0.8315151515151515,0.8484848484848485
2024-06-24,Berlin,1122,0,0.9794238683127571,0.9794238683127571
2024-06-24,Dortmund,262,0,1.108827085852479,1.108827085852479
2024-06-24,Düsseldorf,282,4,1.330188679245283,1.349056603773585
2024-06-24,Frankfurt am Main,198,0,1.0572082379862702,1.0572082379862702
2024-06-24,Gelsenkirchen,208,0,0.787452677122769,0.787452677122769
2024-06-24,Hamburg,602,0,0.9623201644211007,0.9623201644211007
2024-06-24,Köln,256,0,0.9401888772298007,0.9401888772298007
2024-06-24,Leipzig,414,4,0.9056249999999999,0.9143749999999999
2024-06-24,München,120,0,0.9917355371900827,0.9917355371900827
2024-06-24,Stuttgart,158,0,0.9380831212892282,0.9380831212892282
2024-06-25,Berlin,1326,4,1.0756750492525204,1.078919921195967
2024-06-25,Dortmund,278,10,1.056460369163952,1.0944625407166122
2024-06-25,Düsseldorf,184,0,0.8288288288288288,0.8288288288288288
2024-06-25,Frankfurt am Main,182,0,0.8940350877192982,0.8940350877192982
2024-06-25,Gelsenkirchen,182,0,0.6849462365591398,0.6849462365591398
2024-06-25,Hamburg,606,0,0.9000636537237428,0.9000636537237428
2024-06-25,Köln,408,2,1.3339560952825784,1.3404950957496498
2024-06-25,Leipzig,374,0,0.7492844876931883,0.7492844876931883
2024-06-25,München,128,6,0.970747562296858,1.0162513542795233
2024-06-25,Stuttgart,142,0,0.684573002754821,0.684573002754821
2024-06-26,Berlin,1268,0,1.059314954051796,1.059314954051796
2024-06-26,Dortmund,224,0,0.8833802816901408,0.8833802816901408
2024-06-26,Düsseldorf,252,0,1.1682119205298014,1.1682119205298014
2024-06-26,Frankfurt am Main,232,8,1.3012820512820513,1.3461538461538463
2024-06-26,Gelsenkirchen,276,14,1.0298507462686568,1.0820895522388059
2024-06-26,Hamburg,636,0,0.9104294478527608,0.9104294478527608
2024-06-26,Köln,246,0,0.788822721026111,0.788822721026111
